id,BILL_SUB_SYS,RECORD STATUS,ORDER TYPE,ORDER NUMBER,PHONE NUMBER,BILL WITH NUMBER,NAME FORMAT,LAST NAME,FIRST NAME,CUSTOMER NEGOTIATED,PLANNING SCHEDULE,DUE TIME,EST. WORK UNITS,ACTIVE CONTACT DATE,ACTIVE CONTACT TIME,ACTIVE DUE YEAR,ACTIVE DUE MONTH,ACTIVE DUE DAY,ACTIVE ISR DATE,ACTIVE NOT COMPLETE CODE,ISSUED BY EMP NUMBER,EFF. COMP. DATE,ACT. COMP. DATE,COMPLETION TIME,S/O CREATED,S/O POSTED,ASSIGNED TO,COMPLETED BY,WORK ORDER,BEGINNING WORK DATE,MILES DRIVEN,HOURS WORKED,RESIDENTIAL Y/N,ISR CODE,UPDATE CODE,PRINTED Y/N,FLAGGED FOR PRINT Y/N,PHYSICAL ADDRESS CONTROL #,STATE,CITY,SUBDIVISION,STREET NAME,STREET SUBTITLE,STREET DIRECTION,STREET NUMBER,ST. SUBDESCRIPTION,BUILDING NUMBER,BUILDING SUB NUMBER,BILLING CYCLE,PRINT AT LOCATION 1,PRINT AT LOCATION 2,PRINT AT LOCATION 3,PRINT AT LOCATION 4,PRINT AT LOCATION 5,PRINT AT LOCATION 6,PRINT AT LOCATION 7,PRINT AT LOCATION 8,PRINT AT LOCATION 9,PRINT AT LOCATION 10,PRINT AT LOCATION 11,PRINT AT LOCATION 12,PRINT AT LOCATION 13,PRINT AT LOCATION 14,PRINT AT LOCATION 15,PRINT AT LOCATION 16,PRINT AT LOCATION 17,PRINT AT LOCATION 18,PRINT AT LOCATION 19,PRINT AT LOCATION 20,NOT USED FLAG #01,AUTO ASSIGN BILL CYCLE M/A,Order Origination Code,NOT USED FLAG #04,NOT USED FLAG #05,Alt. Phone# Tfr Order#,Sold By Employee#,Account PIN#,STAGE CODE,SAM SEQUENCE #,BUILDING NAME,TC WORK STATUS,TC WORK CHANGE DATE,TC WORK CHANGE TIME,WAM WORK STATUS,WAM WORK CHANGE DATE,WAM WORK CHANGE TIME,FRME WORK STATUS,FRAME WORK CHANGE DATE,FRAME WORK CHANGE TIME,PLANT TRAIT CODE,AUTO STAGED Y/N,NEW CONSTRUCTION Y/N,TECH NOTES INCLUDED Y/N,PRIMARY SERVICE FLAG,Begin Work Time,End Work Date,End Work Time,Allow Order Deactivate,Deactivate Date,Deactivate Time,Deactivate User,Customer will Advise? Y/N,Channel Code,Partner Id#,Referral Id#,Lead Tracking Number,Marketing Program,Appointment Flag Y/N,HSI Flag HI/HO/HL,No Access Flag,Part of a Cut,Post Pre-Edit Flag,LAST_UPD_USER,EXT_DTTM
AZ165462629,AZ,,TD,165462629,6578198094,6578198094,Y,YODER,STACY,N,TC,1700,18,20240503,1452,2024,05,03,20130917,,375611,20130917,20130917,0,20130917,20130917,0,999999,,20130917,0,0,Y,RS,2,N,N,6914900,AZ,PHS,,ELM,,,950,,0,,5,,,,,,,,,,,,,,,,,,,,,1,,R,,,,0,1039,MQC,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ169085819,AZ,,CD,169085819,8661466874,8661466874,N,SCOTT,SASHA,,,0,0,20240402,1438,2024,04,02,0,,570792,20140213,20140213,1220,20140213,20140213,0,77777,,0,0,0,N,CN,2,N,N,2548666,AZ,BHC,,RAILROAD,,,1931,,0,,20,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,7326,***,1,,N,0,0,N,0,0,N,0,0,,,,,,0,0,0,Y,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ194522062,AZ,,ON,194522062,4649162627,4649162627,Y,GOOD,EDWIN,N,TC,1700,1,20240509,1410,2024,05,09,20210211,,749349,20210113,20210211,0,20210211,20210211,0,999999,,20210211,0,0,Y,RS,2,N,N,3544711,AZ,BHC,,RIVER,ST,,950,,0,,3,,,,,,,,,,,,,,,,,,,,,1,,O,,,,0,4654,END,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ261616300,AZ,,RR,261616300,9566803463,9566803463,Y,DEAN,JAIDA,N,TC,1700,1,20240525,1940,2024,05,25,20200812,,434664,20200812,20200812,0,20200812,20200813,0,999999,,20200812,0,0,Y,CN,2,N,N,1286629,AZ,LHC,,POPLAR,,,2713,,0,,25,,,,,,,,,,,,,,,,,,,,,1,,R,,,,0,5228,END,1,,A,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ360803164,AZ,,RO,360803164,7187501911,7187501911,Y,HOOPER,BRYANNA,Y,TC,1700,0,20240422,1342,2024,04,22,20170717,,32279,20170717,20170717,0,20170717,20170718,0,999999,,20170717,0,0,Y,CN,2,N,N,7412880,AZ,LHC,,5TH,DR,,2071,,0,,15,,,,,,,,,,,,,,,,,,,,,2,M,,,,,82094,6327,END,1,,A,0,0,N,0,0,N,0,0,,A,,,,0,0,0,N,0,0,,N,200,0,0,0,0,,HO,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ362690939,AZ,,TD,362690939,8765136485,8765136485,Y,MACDONALD,DARWIN,N,TC,1700,10,20240420,1413,2024,04,20,20181001,,421096,20181001,20181001,0,20181001,20181001,0,999999,,20181001,0,0,Y,RS,2,N,N,6215544,AZ,BHC,,BRIDLE,DR,,2882,,0,,20,,,,,,,,,,,,,,,,,,,,,1,,R,,,,0,3084,END,1,,E,0,0,N,0,0,N,0,0,,A,N,,,0,0,0,N,0,0,,,0,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ365286470,AZ,,SS,365286470,1630054983,1630054983,Y,SULLIVAN,ARIANA,Y,RESSH,1700,0,20240511,1254,2024,05,11,20180530,,648058,20180530,20180530,0,20180526,20180530,0,999999,,20180526,0,0,Y,CN,2,N,N,5094190,AZ,BHC,,YORK,AVE,,819,APT 2,0,,25,,,,,,,,,,,,,,,,,,,,,1,,,,,064396938,806576,2170,END,1,,N,0,0,N,0,0,N,0,0,,A,,,,0,0,0,N,0,0,,N,200,0,0,0,0,,HI,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ370524774,AZ,,CD,370524774,2363372934,2363372934,N,HATFIELD,ALLAN,N,,0,0,20240415,1503,2024,04,15,0,,453510,20190313,20190313,0,20190313,20190313,0,999999,,20190313,0,0,N,CN,2,N,N,922624,AZ,KGM,,MEADOW,,E,3920,,0,,20,,,,,,,,,,,,,,,,,,,,,1,,G,,,,94033,4032,END,1,,N,0,0,N,0,0,N,0,0,,A,,,,0,0,0,N,0,0,,,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ371981149,AZ,,CD,371981149,2090586693,2090586693,Y,WYATT,ANIYA,N,,0,0,20240418,1012,2024,04,18,0,,34394,20161128,20161128,0,20161128,20161128,0,999999,,20161128,0,0,Y,CN,2,N,N,7861340,AZ,LHC,,CHESTNUT,DR,E,1915,,0,,25,,,,,,,,,,,,,,,,,,,,,1,,,,,,933849,2875,END,1,,N,0,0,N,0,0,N,0,0,,A,,,,0,0,0,N,0,0,,N,200,0,0,0,0,,,,,P,INF_BATCH_USER,1/13/2023 2:00
AZ407080812,AZ,,ON,407080812,5772973893,5772973893,Y,WEBB,AMARI,N,TC,1700,0,20240416,1549,2024,04,16,20141030,,217296,20140814,20141030,1503,20141030,20141031,0,999999,,20141030,0,0,Y,RS,2,N,N,9599399,AZ,KGM,,ADAMS,ST,N,4430,,0,,25,,,,,,,,,,,,,,,,,,,,,2,M,,,,,58080,3322,NQC,1,,E,0,0,N,0,0,N,0,0,BONDED,M,,,,0,0,0,N,0,0,,N,200,0,0,0,0,,HO,,,P,INF_BATCH_USER,1/13/2023 2:00
