id,BILL_SUB_SYS,ORDER TYPE,ORDER NUMBER,CUSTOMER CONTACT NUMBER,LAST NAME,FIRST NAME,ACTIVE CONTACT DATE,RESIDENTIAL Y/N,STATE,CITY,SUBDIVISION,STREET NAME,STREET SUBTITLE,STREET NUMBER
AZ165462629,AZ,Web,165462629,6578198094,YODER,STACY,20240116,Y,AZ,PHS,,ELM,,950
AZ169085819,AZ,Phone,169085819,8661466874,SCOTT,SASHA,20240129,N,AZ,BHC,,RAILROAD,,1931
AZ194522062,AZ,Mobile,194522062,4649162627,GOOD,EDWIN,20240102,Y,AZ,BHC,,RIVER,ST,950
AZ261616300,AZ,Phone,261616300,9566803463,DEAN,JAIDA,20240124,Y,AZ,LHC,,POPLAR,,2713
AZ360803164,AZ,Phone,360803164,7187501911,HOOPER,BRYANNA,20240126,Y,AZ,LHC,,5TH,DR,2071
AZ362690939,AZ,Phone,362690939,8765136485,MACDONALD,DARWIN,20240108,Y,AZ,BHC,,BRIDLE,DR,2882
AZ365286470,AZ,Web,365286470,1630054983,SULLIVAN,ARIANA,20240131,Y,AZ,BHC,,YORK,AVE,819
AZ370524774,AZ,Web,370524774,2363372934,HATFIELD,ALLAN,20240130,N,AZ,KGM,,MEADOW,,3920
AZ371981149,AZ,Mobile,371981149,2090586693,WYATT,ANIYA,20240102,Y,AZ,LHC,,CHESTNUT,DR,1915
AZ407080812,AZ,Web,407080812,5772973893,WEBB,AMARI,20240103,Y,AZ,KGM,,ADAMS,ST,4430
AZ421615155,AZ,Mobile,421615155,6949843468,GOODMAN,ADALYN,20240122,Y,AZ,KGM,,CHURCH,LP,3068
AZ424148949,AZ,Phone,424148949,5432531067,PENA,NORA,20240121,Y,AZ,KGM,,MONROE,DR,10521
AZ476709923,AZ,Phone,476709923,3383105949,OROZCO,KELLEN,20240122,Y,AZ,KGM,,11TH,AVE,3590
AZ506865882,AZ,Phone,506865882,8575425202,GOOD,MATHEW,20240101,N,AZ,BHC,,RIVERSIDE,RD,2767
AZ520816151,AZ,Mobile,520816151,9063038138,HAHN,DAMARI,20240121,N,AZ,KGM,,3RD,RD,3269
AZ534873024,AZ,Phone,534873024,6358645956,MARSHALL,EDWARD,20240109,Y,AZ,BHC,,HAWTHORNE,,2633
AZ566511234,AZ,Phone,566511234,1619203755,KOCH,KADE,20240130,N,AZ,LHC,,BROOK,AVE,2041
AZ578596346,AZ,Web,578596346,5615694399,HARDIN,ANTWAN,20240106,Y,AZ,KGM,,LAKE,DR,9775
AZ626617266,AZ,Mobile,626617266,6320979682,BARR,TIANNA,20240124,Y,AZ,BHC,,HARRISON,RD,932
AZ673254617,AZ,Web,673254617,6027284149,WEST,ODIN,20240111,Y,AZ,GVY,,13TH,RD,1725
AZ693180052,AZ,Mobile,693180052,3358891648,PACE,COLTON,20240129,Y,AZ,BHC,,MAIN,DR,818
AZ718035636,AZ,Mobile,718035636,9746425054,ROBERTSON,ZACHARIAH,20240129,Y,AZ,KGM,,CREEK,AVE,3724
AZ734829459,AZ,Mobile,734829459,5755879510,BRIGGS,MAX,20240108,Y,AZ,KGM,,HILLSIDE,AVE,1065
AZ764076822,AZ,Phone,764076822,5010809557,BARNES,GAIGE,20240120,Y,AZ,TPK,,CANAL,DR,5438
AZ770241316,AZ,Phone,770241316,8032005997,HANSON,ZAID,20240116,Y,AZ,LHC,,MEADOW,RD,4019
AZ790757797,AZ,Phone,790757797,1186582354,HOOVER,KODY,20240122,Y,AZ,TPK,,VALLEY,DR,4982
AZ878572532,AZ,Phone,878572532,1918140281,LAM,JAYLENE,20240124,N,AZ,KGM,,WESTMINSTER,RD,3269
AZ879849173,AZ,Mobile,879849173,4902592897,PETTY,TATUM,20240125,Y,AZ,KGM,,EDGEWOOD,AVE,2040
AZ895959148,AZ,Mobile,895959148,7354579651,SANTANA,CASEY,20240112,Y,AZ,MDV,,HERITAGE,LN,35
AZ914612733,AZ,Mobile,914612733,2253552409,DIXON,KAMARI,20240106,Y,AZ,BHC,,SOMERSET,DR,1041
AZ977474895,AZ,Mobile,977474895,4477302286,FREEMAN,LANDON,20240124,Y,AZ,GVY,,CEMETERY,TRL,6164
CA103282575,CA,Phone,103282575,8587709195,MASON,MYLEE,20240114,Y,CA,ELK,,CHESTNUT,CT,10350
CA127984611,CA,Phone,127984611,5124910547,HUDSON,CHARLEE,20240110,N,CA,SAC,,WEST,RD,6600
CA133770704,CA,Web,133770704,7202299285,WILKERSON,KOEN,20240108,Y,CA,SAC,,LINDA,WY,7735
CA150709393,CA,Web,150709393,1376985558,HARRISON,CORA,20240121,Y,NV,EKO,,6TH,AVE,814
CA151337793,CA,Mobile,151337793,1379277028,GRIFFITH,KAMRON,20240116,Y,CA,ALT,,CEDAR,ST,1309
CA153388794,CA,Mobile,153388794,9739777746,RHODES,HASSAN,20240115,Y,UT,DEL,,CEDAR,,1955
CA157085372,CA,Web,157085372,9885544120,CRUZ,ADRIAN,20240120,N,CA,LNG,,COURT,,2005
CA162949256,CA,Mobile,162949256,5528528922,SPARKS,TONY,20240116,Y,CA,MON,,MAIN,DR,30272
CA184032426,CA,Phone,184032426,3357547351,OSBORN,VICENTE,20240113,Y,CA,PSN,,LAKE,AV,544
CA184881506,CA,Web,184881506,7772797550,ROACH,MALIYAH,20240108,Y,CA,WIM,,RAILROAD,,451
CA186976759,CA,Phone,186976759,8900058018,RUIZ,CHARLIZE,20240102,Y,CA,CLB,,POPLAR,AV,35910
CA192934160,CA,Web,192934160,1515771469,COLLIER,KANE,20240124,Y,AZ,CIA,,FRANKLIN,AVE,1765
CA198158744,CA,Phone,198158744,7021550551,ZIMMERMAN,KARINA,20240114,Y,CA,ELK,,WARREN,DR,9630
CA207371372,CA,Web,207371372,8792108315,BAILEY,SHARON,20240102,N,,,,JACKSON,,0
CA223940304,CA,Mobile,223940304,8333927257,CRANE,TRINITY,20240116,Y,AZ,LKS,,MILL,TRL,1426
CA229419298,CA,Phone,229419298,6203653552,KAUFMAN,LESLY,20240114,N,AZ,SPR,,5TH,RD,133
CA236225955,CA,Phone,236225955,3710471247,SMALL,MARELY,20240111,Y,AZ,HBR,,BELMONT,ST,3426
CA246236886,CA,Mobile,246236886,1342822432,GENTRY,SCARLET,20240113,Y,AZ,MNF,,OAK,,12
CA247041964,CA,Phone,247041964,5377353398,DONALDSON,JAZLYNN,20240122,Y,AZ,FOD,,PEARL,,606
CA254654380,CA,Mobile,254654380,3133279916,BERRY,HADASSAH,20240112,Y,NV,SPC,,GEORGE,DR,678
CA270617073,CA,Web,270617073,2769185178,WRIGHT,DAMION,20240106,N,CA,ALT,,WILLOW,ST,112
CA280030712,CA,Phone,280030712,1704955897,STEWART,JARON,20240129,Y,CA,SAC,,LAUREL,DR,8242
CA289757767,CA,Web,289757767,1471659819,BARTLETT,REAGAN,20240103,N,CA,WIL,,UNION,RD,10900
CA298103705,CA,Mobile,298103705,4884294594,WATTS,DANIEL,20240128,Y,AZ,TSA,,BROAD,,19
CA311325742,CA,Web,311325742,9702457067,BENTON,BRENT,20240119,Y,CA,ADI,,2ND,ST,212
CA311357250,CA,Mobile,311357250,3690545237,MALDONADO,JALEN,20240106,Y,CA,GRE,,CIRCLE,RD,3494
CA322699331,CA,Phone,322699331,9374944446,MARSHALL,CURTIS,20240117,Y,CA,MAX,,ROUTE,RD,65
CA326174212,CA,Phone,326174212,9244054240,DUKE,KEAGAN,20240104,Y,CA,LEA,,VIRGINIA,,710075
CA348067619,CA,Mobile,348067619,2825163101,HUBER,TROY,20240117,N,NV,EKO,,ORCHARD,DR,3700
CA358665388,CA,Phone,358665388,6675600144,JEFFERSON,BRITTANY,20240103,Y,CA,ELK,,CHESTNUT,RD,3550
CA361784576,CA,Phone,361784576,5256762226,SHIELDS,MARISA,20240115,Y,NV,EKO,,LANTERN,AVE,3510
CA380125426,CA,Phone,380125426,6252509830,DODSON,JAYLIN,20240109,N,CA,SAC,,MORRIS,CT,8630
CA386074686,CA,Mobile,386074686,8618567176,PARSONS,HAVEN,20240101,Y,NM,NAJ,,HILLCREST,,32
CA388899021,CA,Phone,388899021,9969433983,ZAMORA,KINGSTON,20240130,Y,CA,MMN,,BUTTONWOOD,WY,21910
CA389483110,CA,Phone,389483110,8308393816,HANCOCK,AYLA,20240129,N,CA,ALT,,HANOVER,ST,110
CA416151047,CA,Phone,416151047,7129882371,ROCHA,NOLA,20240114,N,CA,SAC,,JAMES,RD,7550
CA417991440,CA,Mobile,417991440,1267813331,MCCARTHY,DEXTER,20240103,Y,CA,ELK,,VALLEY,CIR,5224
CA429522949,CA,Web,429522949,6332030564,BOOKER,WAYNE,20240124,N,AZ,SPR,,RIDGE,ST,106
CA446737027,CA,Phone,446737027,9238497352,FAULKNER,GEORGE,20240107,Y,CA,BEL,,GREEN,RD,13155
CA452275027,CA,Phone,452275027,8434745198,ARCHER,ARELI,20240120,N,CA,ELK,,LINCOLN,WY,8400
